sample,short_ID,species,Site,biogeographic,lat,lon,depth(m),MPA,month,year
Gb_BS_imp_15O4_s_31,Gb.83,Gb,Barents Sea,Arctic ,71.58797,21.37533,333,No MPA,March,2017
Gb_BS_imp_18R6_s_38,Gb.84,Gb,Barents Sea,Arctic ,71.58797,21.37533,333,No MPA,March,2017
Gb_BS_imp_23W4_s_37,Gb.85,Gb,Barents Sea,Arctic ,71.58797,21.37533,333,No MPA,March,2017
Gb_BS_imp_9I4_s_39,Gb.50,Gb,Barents Sea,Arctic ,71.58797,21.37533,333,No MPA,March,2017
Gb_BS_unimp_14N5_s_41,Gb.86,Gb,Barents Sea,Arctic ,71.396,16.810333,333,No MPA,March,2017
Gb_BS_unimp_3C6_s_43,Gb.87,Gb,Barents Sea,Arctic ,71.396,16.810333,333,No MPA,March,2017
Gb_BS_unimp_4D2_s_40,Gb.88,Gb,Barents Sea,Arctic ,71.396,16.810333,333,No MPA,March,2017
Gb_BS_unimp_6F4_s_42,Gb.89,Gb,Barents Sea,Arctic ,71.396,16.810333,333,No MPA,March,2017
Gb_Can_M_Trip8-75.1_d_69,Gb.31,Gb,Paamiut,North Atlantic Boreal,66.80795,-58.667383,903,No MPA,October,2016
Gb_Can_M_Trip8-75.2_d_70,Gb.32,Gb,Paamiut,North Atlantic Boreal,66.80795,-58.667383,903,No MPA,October,2016
