sample,value,step,direction,file,Step
Gh_Can_M_Trip8-75.8_d_68_R1_filt.fastq.gz,39933,Tabled,Both,Both,FUSION
Gh_Ice_A11-641-B_s_25_R1_filt.fastq.gz,71099,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1123-2-C_d_59_R1_filt.fastq.gz,51814,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1123-B_d_60_R1_filt.fastq.gz,71776,Tabled,Both,Both,FUSION
Gh_Ice_ME85-3-1132-A_s_32_R1_filt.fastq.gz,104791,Tabled,Both,Both,FUSION
Gh_JMR-SM_AGT03-26_d_93_R1_filt.fastq.gz,43505,Tabled,Both,Both,FUSION
Gh_JMR_DR01-A_d_87_R1_filt.fastq.gz,35083,Tabled,Both,Both,FUSION
Gh_JMR_DR01-B_d_88_R1_filt.fastq.gz,42928,Tabled,Both,Both,FUSION
Gh_JMR_DR01-C_d_89_R1_filt.fastq.gz,36457,Tabled,Both,Both,FUSION
Gh_JMR_DR05-1-A_s_85_R1_filt.fastq.gz,39423,Tabled,Both,Both,FUSION
Gh_JMR_DR05-1-B_s_86_R1_filt.fastq.gz,42889,Tabled,Both,Both,FUSION
Gh_KS_193.1_d_79_R1_filt.fastq.gz,27196,Tabled,Both,Both,FUSION
Gh_KS_193.2_d_81_R1_filt.fastq.gz,74888,Tabled,Both,Both,FUSION
Gh_KS_197.1_s_57_R1_filt.fastq.gz,46857,Tabled,Both,Both,FUSION
Gh_KS_200.5_s_58_R1_filt.fastq.gz,49385,Tabled,Both,Both,FUSION
Gh_OK_293_d_01_R1_filt.fastq.gz,62092,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.10_s_28_R1_filt.fastq.gz,47636,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.2_s_56_R1_filt.fastq.gz,53586,Tabled,Both,Both,FUSION
Gh_SM_AGT07-22.3_s_27_R1_filt.fastq.gz,36617,Tabled,Both,Both,FUSION
